tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business,diluted_earnings_per_share 06/30/24,diluted_earnings_per_share 03/31/24,diluted_earnings_per_share 12/31/23,diluted_earnings_per_share 09/30/23,weighted_earnings_per_share 06/30/24,weighted_earnings_per_share 03/31/24,weighted_earnings_per_share 12/31/23,weighted_earnings_per_share 09/30/23,net_asset_per_share 06/30/24,net_asset_per_share 03/31/24,net_asset_per_share 12/31/23,net_asset_per_share 09/30/23,return_on_equity 06/30/24,return_on_equity 03/31/24,return_on_equity 12/31/23,return_on_equity 09/30/23,operating_profit_margin 06/30/24,operating_profit_margin 03/31/24,operating_profit_margin 12/31/23,operating_profit_margin 09/30/23,net_profit_margin 06/30/24,net_profit_margin 03/31/24,net_profit_margin 12/31/23,net_profit_margin 09/30/23,return_on_assets 06/30/24,return_on_assets 03/31/24,return_on_assets 12/31/23,return_on_assets 09/30/23,current_ratio 06/30/24,current_ratio 03/31/24,current_ratio 12/31/23,current_ratio 09/30/23,quick_ratio 06/30/24,quick_ratio 03/31/24,quick_ratio 12/31/23,quick_ratio 09/30/23,cash_ratio 06/30/24,cash_ratio 03/31/24,cash_ratio 12/31/23,cash_ratio 09/30/23,debt_to_asset_ratio 06/30/24,debt_to_asset_ratio 03/31/24,debt_to_asset_ratio 12/31/23,debt_to_asset_ratio 09/30/23
002633,申科股份,深圳证券交易所,2011-11-22,14.0,http://www.shenke.com,浙江省绍兴市诸暨市陶朱街道建工东路1号,厚壁滑动轴承及部套件的研发、生产与销售。,0.0442,0.005,-0.1267,-0.0504,0.0442,0.005,-0.1267,-0.0504,2.7957,2.7548,2.7498,2.8248,1.58,0.18,-4.61,-1.78,3.9966,1.0781,-6.862,-3.4568,4.0968,1.0738,-6.9553,-3.5407,1.004,0.1142,-2.8919,-1.2053,1.8377,1.8009,1.7702,1.9553,1.2491,1.1449,1.1134,1.1898,17.4986,23.8002,25.4477,17.6072,36.5461,36.6828,37.2153,32.4235
002634,棒杰股份,深圳证券交易所,2011-12-05,18.1,http://www.bangjie.cn,江苏省苏州市工业园区思安街99号协鑫广场1号楼29楼,"服装、服装辅料、领带制造、销售;货物进出口、技术进出口(法律、法规禁止的项目除外,法律、法规限制的项目取得许可证后方可经营);针织内衣、机织纯化纤面料制造、销售(凡涉及许可证或专项审批的凭相关有效证件经营)。",-0.4518,-0.0931,-0.3155,0.0248,-0.3,-0.06,-0.19,0.03,1.9232,2.2535,2.311,2.2049,-15.59,-2.66,-8.07,1.37,-28.4978,-11.0923,-18.9787,3.9705,-28.9906,-11.5501,-19.5918,2.5562,-3.8226,-0.7992,-3.0342,0.3752,0.7587,0.8284,0.8515,1.5617,0.7001,0.7353,0.785,1.4284,42.6468,44.8892,43.112,65.7943,79.1511,75.0014,71.1256,60.9251
002635,安洁科技,深圳证券交易所,2011-11-25,23.0,http://www.anjiesz.com,江苏省苏州市太湖国家旅游度假区孙武路2011号,"研发、生产与销售精密功能性器件、精密结构件和模组类等智能终端零组件产品,产品用于智能手机、笔记本电脑、平板电脑、一体机、可穿戴设备、智能家居、新能源汽车、信息存储设备等智能终端。",0.2622,0.1554,0.4531,0.3492,0.27,0.16,0.45,0.35,8.673,8.7133,8.7917,8.6803,3.06,1.8,5.2,4.06,7.9645,9.5732,7.6707,8.2489,7.1623,8.9849,6.7459,7.648,2.1266,1.2641,3.7359,3.0523,1.7395,1.8371,1.8952,2.3899,1.5157,1.5796,1.6586,2.0438,35.1926,34.1775,42.1829,59.01,29.5361,29.0094,27.3816,23.9964
002636,金安国纪,深圳证券交易所,2011-11-25,11.2,http://www.goldenmax.cn,上海市松江工业区宝胜路33号,电子行业基础材料覆铜板的研发、生产和销售。,0.0971,-0.0293,-0.1049,0.0102,0.1,-0.029,-0.108,0.004,4.6813,4.6142,4.642,4.756,2.05,-0.62,-2.33,0.09,3.6602,-2.4256,-1.974,0.3503,3.5825,-2.5487,-2.1393,0.2803,1.1672,-0.3509,-1.2417,0.1225,1.162,1.2566,1.2515,1.3351,1.0087,1.0792,1.0877,1.146,28.3573,48.8972,38.559,36.5614,41.5919,41.8127,42.2512,39.7995
002637,赞宇科技,深圳证券交易所,2011-11-25,36.0,http://www.zanyu.com,浙江省杭州市西湖区古墩路702号,表面活性剂产品和油脂化工产品的生产和销售。,0.1774,0.1015,0.0968,0.1544,0.21,0.12,0.19,0.25,7.6873,7.7931,7.8647,7.9634,2.53,1.4,2.38,3.07,2.3784,2.379,1.186,1.4593,1.8047,1.9555,0.4739,1.0006,1.0769,0.5991,0.5798,0.8996,1.1386,1.1376,1.1802,1.2823,0.7212,0.7854,0.7255,0.8209,13.2573,18.5377,23.1593,16.5912,52.7702,53.2636,52.14,52.8517
002638,勤上股份,深圳证券交易所,2011-11-25,24.0,http://www.kingsun-china.com,广东省东莞市常平镇横江厦工业四路3号,"从事半导体照明业务,主打智慧照明、户外照明、景观照明、户外庭院产品的研发、生产和销售,以雄厚的技术水平成为业内领先的半导体照明产品和综合解决方案供应商。",-0.0157,-0.0039,-0.0409,0.0427,-0.0157,-0.0039,-0.04,0.0413,1.7374,1.7379,1.7418,1.8276,-0.9,-0.22,-2.35,2.33,-9.9705,-4.1468,-18.9176,24.1895,-10.1681,-4.8937,-17.954,25.1771,-0.8137,-0.2018,-2.1163,2.1049,6.8306,6.7581,6.9872,6.9522,6.2583,6.1683,6.2561,6.0159,134.0701,118.8036,216.9375,203.5974,9.8822,10.0633,9.7751,9.8312
002639,雪人股份,深圳证券交易所,2011-12-05,19.8,http://www.snowman.cn,福建省福州市长乐区闽江口工业区洞江西路,"制冰设备及制冰系统业务包括制冰、储冰、送冰设备及系统的研发、生产及销售。生产运行维护、仪表与控制系统维护、LNG生产、电气维护、脱硫及硫磺回收、压缩机维护等多项专业化技术服务。中央空调系统的安装、销售及运维服务,提供冰蓄冷、IDC机房温控、冷藏冷冻库、地源热泵、中央空调系统集成及运营维护服务。氢燃料电池。",0.0274,0.0104,-0.0288,0.0209,0.0294,0.0113,-0.0199,0.023,3.1759,3.155,3.1856,3.2315,0.92,0.36,-0.62,0.71,3.0353,3.3887,-1.8483,1.5495,2.6397,2.3514,-1.0942,1.1223,0.4685,0.1804,-0.4837,0.3545,1.2837,1.289,1.2922,1.356,0.7899,0.8339,0.9115,0.945,16.33,19.424,26.154,19.0841,45.225,44.835,46.2203,44.69
002640,跨境通,深圳证券交易所,2011-12-08,25.8,http://www.kjtbao.com,山西省太原市万柏林区滨河西路51号摩天石3#28F,跨境出口电商业务、跨境进口电商业务。,-0.0074,-0.0118,-0.0081,-0.01,-0.0073,-0.0112,-0.0062,-0.0094,0.8554,0.8541,0.8656,0.8569,-0.85,-1.31,-0.72,-1.09,0.2581,-0.735,0.5468,0.3731,-0.3929,-1.4393,-0.1901,-0.3108,-0.2902,-0.4801,-0.3361,-0.3673,1.0128,1.0125,1.0213,1.0117,0.8506,0.8179,0.7487,0.7774,7.0431,13.6756,15.8881,14.8228,66.4775,65.4492,64.1643,68.7467
002641,公元股份,深圳证券交易所,2011-12-08,18.0,http://www.era.com.cn,浙江省台州市黄岩区黄椒路555号永高双浦新厂区,塑料管道的研发、生产和销售。,0.1061,0.014,0.3057,0.2364,0.1,0.01,0.3,0.23,4.3977,4.3603,4.3736,4.307,2.32,0.27,6.75,5.26,4.5956,2.0525,5.5298,5.8966,4.141,1.3882,5.0294,5.2627,1.4871,0.1844,4.5073,3.6221,1.5198,1.5619,1.8214,1.8777,1.0695,1.1729,1.3518,1.3147,49.2342,74.9221,76.4054,71.5328,36.6368,41.1329,33.753,32.1851
002642,荣联科技,深圳证券交易所,2011-12-20,25.0,http://www.ronglian.com,北京市朝阳区酒仙桥北路甲10号院106号楼(荣联科技大厦),围绕大中型企事业单位的数据中心提供从咨询、设计、系统部署、软件开发、到运维管理及后续升级改造等全套解决方案和专业服务。,0.0175,0.0079,-0.5489,-0.0586,0.0175,0.0079,-0.5479,-0.0586,1.7425,1.705,1.6969,2.2288,1.01,0.46,-32.35,-2.63,1.1306,1.2899,-12.2963,-1.5487,1.1381,1.3046,-15.2847,-2.2885,0.474,0.211,-13.9568,-1.3625,1.502,1.4623,1.4127,1.637,1.125,1.0718,1.0902,1.2483,26.187,39.9763,45.4816,31.5777,52.8556,54.3871,56.8541,48.1883
